player_name,player_link,Ht,Wt,40yd,Bench,Broad Jump,Shuttle,3Cone,Vertical
Jared Abbrederis,/players/A/AbbrJa00.htm,73,195,4.5,4,117,4.08,6.8,30.5
Ameer Abdullah,/players/A/AbduAm00.htm,69,205,4.6,24,130,3.95,6.79,42.5
Oday Aboushi,/players/A/AbouOd00.htm,77,308,5.41,17,100,4.84,7.92,23.5
Sam Acho,/players/A/AchoSa00.htm,74,262,4.67,23,112,4.32,6.69,33.5
Kenneth Acker,/players/A/AckeKe00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Adams,/players/A/AdamAn01.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davante Adams,/players/A/AdamDa01.htm,73,212,4.56,14,123,4.3,6.82,39.5
Jamal Adams ,/players/A/AdamJa00.htm,72,214,4.56,18,120,4.13,6.96,31.5
Jerell Adams,/players/A/AdamJe01.htm,77,247,4.64,0,117,4.31,7.05,32.5
Mike Adams,/players/A/AdamMi21.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montravius Adams,/players/A/AdamMo00.htm,76,304,4.87,22,108,4.89,7.62,29.0
Tyrell Adams,/players/A/AdamTy00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jahleel Addae,/players/A/AddaJa00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Addison,/players/A/AddiMa00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quincy Adeboyejo,/players/A/AdebQu00.htm,75,197,4.42,8,123,4.14,6.73,34.5
Nelson Agholor,/players/A/AghoNe00.htm,72,198,4.42,12,0,0.0,0.0,0.0
Jamal Agnew,/players/A/AgneJa00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamar Aiken,/players/A/AikeKa00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walt Aikens,/players/A/AikeWa00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Ajayi,/players/A/AjayJa00.htm,72,221,4.57,19,121,4.1,7.1,39.0
Bryson Albright,/players/A/AlbrBr00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Alexander,/players/A/AlexD.00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominique Alexander,/players/A/AlexDo01.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwon Alexander,/players/A/AlexKw00.htm,73,227,4.55,24,121,4.2,7.14,36.0
Lorenzo Alexander,/players/A/AlexLo99.htm,74,289,5.12,28,106,4.55,7.53,29.5
Maurice Alexander,/players/A/AlexMa00.htm,73,220,4.5,0,123,4.51,7.05,38.0
Mackensie Alexander,/players/A/AlexMa01.htm,70,190,4.43,11,0,0.0,0.0,0.0
Vadal Alexander,/players/A/AlexVa00.htm,77,326,5.57,25,95,4.9,8.04,24.0
Robert Alford,/players/A/AlfoRo00.htm,70,188,4.39,17,132,4.23,6.89,40.0
Beau Allen,/players/A/AlleBe00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Allen,/players/A/AlleBr01.htm,75,215,4.48,15,117,4.34,6.64,34.5
Chase Allen,/players/A/AlleCh02.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Allen,/players/A/AlleDw00.htm,75,255,4.85,27,110,4.37,7.12,32.0
Javorius Allen,/players/A/AlleJa01.htm,72,221,4.53,11,121,4.28,6.96,35.5
Jeff Allen,/players/A/AlleJe01.htm,76,307,5.17,26,102,4.9,8.01,27.5
Jonathan Allen ,/players/A/AlleJo01.htm,75,286,5.0,21,108,4.5,7.49,30.0
Keenan Allen,/players/A/AlleKe00.htm,74,206,4.58,0,0,0.0,0.0,0.0
Nate Allen,/players/A/AlleNa99.htm,72,207,4.5,16,0,0.0,0.0,0.0
Ricardo Allen,/players/A/AlleRi00.htm,69,187,4.61,13,117,4.15,0.0,35.5
Ryan Allen,/players/A/AlleRy01.htm,73,229,4.98,0,0,0.0,0.0,0.0
Geronimo Allison,/players/A/AlliGe01.htm,75,196,4.67,0,127,4.28,7.4,33.0
Kiko Alonso,/players/A/AlonKi00.htm,75,238,4.74,0,0,0.0,0.0,0.0
Tyson Alualu,/players/A/AluaTy99.htm,74,295,4.87,21,116,4.43,7.15,35.5
Danny Amendola,/players/A/AmenDa00.htm,70,183,4.58,13,103,4.25,6.81,27.5
David Amerson,/players/A/AmerDa00.htm,73,205,4.44,15,127,0.0,0.0,35.5
Adrian Amos,/players/A/AmosAd00.htm,72,218,4.56,0,122,4.03,7.09,35.5
Prince Amukamara,/players/A/AmukPr00.htm,72,206,4.38,15,128,4.08,6.97,38.0
C.J. Anderson,/players/A/AndeC.00.htm,68,224,4.6,17,119,4.12,7.15,32.0
Colt Anderson ,/players/A/AndeCo01.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derek Anderson ,/players/A/AndeDe00.htm,78,242,5.03,0,103,4.62,7.67,29.0
Henry Anderson,/players/A/AndeHe00.htm,78,294,4.97,0,111,4.19,7.2,30.0
Jonathan Anderson,/players/A/AndeJo01.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robby Anderson,/players/A/AndeRo04.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Anderson,/players/A/AndeRy00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Anderson,/players/A/AndeSt01.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zaire Anderson,/players/A/AndeZa01.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Andrews,/players/A/AndrDa00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Anger,/players/A/AngeBr00.htm,76,208,4.86,0,0,0.0,0.0,0.0
Eli Ankou,/players/A/AnkoEl00.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
