player_name,team,injury,wed_ps,thu_ps,fri_ps,final
Karlos Dansby,Arizona Cardinals,"Finger,hamstring",DNP,DNP,LIMITED,Questionable
Andre Ellington,Arizona Cardinals,Quadricep,LIMITED,LIMITED,LIMITED,Questionable
Brittan Golden,Arizona Cardinals,Groin,LIMITED,DNP,DNP,Questionable
Daniel Munyer,Arizona Cardinals,Toe,--,DNP,DNP,Out
Olsen Pierre,Arizona Cardinals,Ankle,FULL,FULL,FULL,Available
Frostee Rucker,Arizona Cardinals,"Knee,hip",DNP,LIMITED,LIMITED,Questionable
Chad Williams,Arizona Cardinals,Back,LIMITED,DNP,DNP,Questionable
Devonta Freeman,Atlanta Falcons,"Abdomen,shoulder",LIMITED,LIMITED,LIMITED,Available
Taylor Gabriel,Atlanta Falcons,Tooth,LIMITED,FULL,FULL,Available
Grady Jarrett,Atlanta Falcons,Ankle,LIMITED,FULL,FULL,Available
Deion Jones,Atlanta Falcons,Ankle,LIMITED,LIMITED,FULL,Available
Takkarist McKinley,Atlanta Falcons,Shoulder,LIMITED,LIMITED,FULL,Available
Brian Poole,Atlanta Falcons,Neck,LIMITED,FULL,FULL,Available
LaRoy Reynolds,Atlanta Falcons,Chest,FULL,FULL,FULL,Available
Duke Riley,Atlanta Falcons,Knee,DNP,DNP,DNP,Out
Courtney Upshaw,Atlanta Falcons,Ankle,LIMITED,LIMITED,FULL,Available
Nick Boyle,Baltimore Ravens,Toe,DNP,DNP,DNP,Questionable
Michael Campanaro,Baltimore Ravens,Shoulder,DNP,DNP,DNP,Out
Chuck Clark,Baltimore Ravens,Thigh,--,DNP,DNP,Out
Joe Flacco,Baltimore Ravens,Concussion,FULL,FULL,FULL,Questionable
Ryan Jensen,Baltimore Ravens,Shoulder,LIMITED,LIMITED,FULL,Questionable
Jeremy Maclin,Baltimore Ravens,Shoulder,LIMITED,LIMITED,LIMITED,Questionable
Chris Matthews,Baltimore Ravens,Thigh,DNP,DNP,--,Available
Vince Mayle,Baltimore Ravens,Concussion,LIMITED,LIMITED,FULL,Questionable
Michael Pierce,Baltimore Ravens,Illness,DNP,DNP,LIMITED,Questionable
Jimmy Smith,Baltimore Ravens,Achilles,DNP,FULL,FULL,Questionable
Ronnie Stanley,Baltimore Ravens,Shoulder,LIMITED,LIMITED,LIMITED,Questionable
Terrell Suggs,Baltimore Ravens,Not Injury Related,--,--,DNP,Available
Mike Wallace,Baltimore Ravens,Back,FULL,LIMITED,FULL,Questionable
Lardarius Webb,Baltimore Ravens,Concussion,LIMITED,FULL,FULL,Questionable
Terrance West,Baltimore Ravens,Calf,DNP,DNP,DNP,Out
Maxx Williams,Baltimore Ravens,Ankle,FULL,FULL,FULL,Questionable
Tim Williams,Baltimore Ravens,Thigh,FULL,FULL,FULL,Questionable
