player_name,team,injury,wed_ps,thu_ps,fri_ps,final
Karlos Dansby,Arizona Cardinals,Hamstring,LIMITED,LIMITED,LIMITED,Questionable
Andre Ellington,Arizona Cardinals,Quadricep,LIMITED,DNP,DNP,Questionable
Robert Nkemdiche,Arizona Cardinals,Calf,LIMITED,LIMITED,LIMITED,Questionable
Corey Peters,Arizona Cardinals,Knee,LIMITED,LIMITED,FULL,Available
Patrick Peterson,Arizona Cardinals,Quadricep,LIMITED,LIMITED,FULL,Available
Olsen Pierre,Arizona Cardinals,Ankle,DNP,LIMITED,LIMITED,Questionable
Jared Veldheer,Arizona Cardinals,Knee,LIMITED,LIMITED,FULL,Available
Xavier Williams,Arizona Cardinals,Knee,DNP,LIMITED,LIMITED,Questionable
Vic Beasley,Atlanta Falcons,Hamstring,LIMITED,LIMITED,FULL,Available
Matt Bryant,Atlanta Falcons,Back,DNP,LIMITED,FULL,Available
Jermaine Grace,Atlanta Falcons,Hamstring,LIMITED,LIMITED,FULL,Available
Deion Jones,Atlanta Falcons,Quadricep,LIMITED,LIMITED,LIMITED,Available
Takkarist McKinley,Atlanta Falcons,Shoulder,LIMITED,LIMITED,LIMITED,Available
Duke Riley,Atlanta Falcons,Knee,LIMITED,LIMITED,FULL,Available
Mohamed Sanu,Atlanta Falcons,Hamstring,LIMITED,LIMITED,LIMITED,Available
Jordan Tripp,Atlanta Falcons,Concussion,--,DNP,DNP,Out
Courtney Upshaw,Atlanta Falcons,"Ankle,knee",LIMITED,LIMITED,LIMITED,Available
Carl Davis,Baltimore Ravens,Thigh,FULL,FULL,FULL,Questionable
Jaylen Hill,Baltimore Ravens,Thigh,FULL,FULL,FULL,Questionable
Anthony Levine,Baltimore Ravens,Thigh,LIMITED,LIMITED,LIMITED,Questionable
Jeremy Maclin,Baltimore Ravens,Shoulder,LIMITED,LIMITED,LIMITED,Questionable
Chris Matthews,Baltimore Ravens,Thigh,--,LIMITED,DNP,Doubtful
Breshad Perriman,Baltimore Ravens,Concussion,DNP,DNP,DNP,Out
Matt Skura,Baltimore Ravens,Knee,DNP,DNP,DNP,Out
Jimmy Smith,Baltimore Ravens,Achilles,DNP,DNP,LIMITED,Questionable
Ronnie Stanley,Baltimore Ravens,Mouth,DNP,FULL,FULL,Questionable
Terrell Suggs,Baltimore Ravens,Not Injury Related,--,--,DNP,Available
Mike Wallace,Baltimore Ravens,Back,LIMITED,DNP,LIMITED,Questionable
Benjamin Watson,Baltimore Ravens,Knee,DNP,DNP,LIMITED,Questionable
Lardarius Webb,Baltimore Ravens,Knee,--,DNP,LIMITED,Questionable
Terrance West,Baltimore Ravens,Calf,DNP,DNP,DNP,Out
Brandon Williams,Baltimore Ravens,Foot,FULL,FULL,FULL,Questionable
Maxx Williams,Baltimore Ravens,Ankle,DNP,DNP,DNP,Out
Tim Williams,Baltimore Ravens,Thigh,DNP,DNP,DNP,Out
Charles Clay,Buffalo Bills,Knee,DNP,DNP,DNP,Out
E.J. Gaines,Buffalo Bills,Groin,LIMITED,FULL,FULL,Questionable
Cordy Glenn,Buffalo Bills,"Ankle,foot",FULL,FULL,FULL,Available
Ramon Humber,Buffalo Bills,Thumb,DNP,DNP,DNP,Out
Richie Incognito,Buffalo Bills,Not Injury Related,--,DNP,--,Available
Leonard Johnson,Buffalo Bills,Hamstring,LIMITED,FULL,FULL,Questionable
Jordan Matthews,Buffalo Bills,Thumb,LIMITED,LIMITED,FULL,Questionable
Kelvin Benjamin,Carolina Panthers,Knee,DNP,DNP,FULL,Questionable
Kurt Coleman,Carolina Panthers,Knee,LIMITED,LIMITED,FULL,Questionable
Demetrious Cox,Carolina Panthers,Ankle,DNP,DNP,DNP,Out
Thomas Davis,Carolina Panthers,Groin,LIMITED,LIMITED,FULL,Available
Graham Gano,Carolina Panthers,Right Knee,--,--,FULL,Questionable
Charles Johnson,Carolina Panthers,Groin,LIMITED,LIMITED,FULL,Questionable
Ryan Kalil,Carolina Panthers,Neck,LIMITED,LIMITED,FULL,Questionable
Luke Kuechly,Carolina Panthers,Concussion,DNP,DNP,LIMITED,Out
Chris Manhertz,Carolina Panthers,Shoulder,--,LIMITED,FULL,Available
Cam Newton,Carolina Panthers,Right Shoulder,LIMITED,LIMITED,LIMITED,Available
Julius Peppers,Carolina Panthers,Shoulder,LIMITED,LIMITED,FULL,Available
Jonathan Stewart,Carolina Panthers,Ankle,LIMITED,LIMITED,FULL,Available
John Theus,Carolina Panthers,Concussion,DNP,DNP,DNP,Out
Greg Van Roten,Carolina Panthers,Shoulder,--,DNP,FULL,Questionable
Fozzy Whittaker,Carolina Panthers,Ankle,DNP,DNP,DNP,Out
Benny Cunningham,Chicago Bears,Hamstring,LIMITED,LIMITED,FULL,Questionable
Tanner Gentry,Chicago Bears,Hip,LIMITED,FULL,--,Available
Hroniss Grasu,Chicago Bears,Hand,LIMITED,LIMITED,LIMITED,Questionable
Nick Kwiatkoski,Chicago Bears,Chest,LIMITED,LIMITED,FULL,Questionable
Sherrick McManis,Chicago Bears,Hamstring,DNP,DNP,DNP,Doubtful
John Timu,Chicago Bears,"Ankle,knee",DNP,DNP,DNP,Doubtful
Markus Wheaton,Chicago Bears,Groin,DNP,DNP,DNP,Out
Clint Boling,Cincinnati Bengals,Not Injury Related,--,DNP,--,Available
Tyler Boyd,Cincinnati Bengals,Knee,DNP,DNP,DNP,Out
Andy Dalton,Cincinnati Bengals,Ankle,FULL,FULL,FULL,Available
Clayton Fejedelem,Cincinnati Bengals,Hamstring,LIMITED,FULL,FULL,Available
Ryan Hewitt,Cincinnati Bengals,Knee,DNP,DNP,DNP,Out
Adam Jones,Cincinnati Bengals,Back,LIMITED,DNP,DNP,Doubtful
Dre Kirkpatrick,Cincinnati Bengals,Shoulder,FULL,FULL,FULL,Available
John Ross,Cincinnati Bengals,Knee,LIMITED,LIMITED,FULL,Questionable
Derron Smith,Cincinnati Bengals,Ankle,LIMITED,LIMITED,FULL,Questionable
Kenny Britt,Cleveland Browns,"Knee,groin",LIMITED,LIMITED,LIMITED,Questionable
James Burgess,Cleveland Browns,Knee,DNP,DNP,DNP,Out
Sammie Coates,Cleveland Browns,Hamstring,--,LIMITED,LIMITED,Questionable
Kevin Hogan,Cleveland Browns,Ribs,FULL,FULL,FULL,Available
Jason McCourty,Cleveland Browns,Ankle,--,LIMITED,DNP,Questionable
Jamie Meder,Cleveland Browns,Toe,LIMITED,LIMITED,LIMITED,Available
Jabrill Peppers,Cleveland Browns,Toe,DNP,LIMITED,LIMITED,Questionable
Danny Shelton,Cleveland Browns,Ankle,LIMITED,LIMITED,FULL,Available
Jamar Taylor,Cleveland Browns,Ribs,LIMITED,LIMITED,LIMITED,Available
Randall Telfer,Cleveland Browns,Knee,FULL,FULL,FULL,Available
Joe Thomas,Cleveland Browns,Knee,DNP,DNP,DNP,Available
Chidobe Awuzie,Dallas Cowboys,Hamstring,DNP,DNP,DNP,Out
La'el Collins,Dallas Cowboys,Ankle,FULL,FULL,FULL,Available
Justin Durant,Dallas Cowboys,Groin,--,--,LIMITED,Questionable
Sean Lee,Dallas Cowboys,Hamstring,FULL,FULL,FULL,Available
Tyron Smith,Dallas Cowboys,Back,DNP,FULL,FULL,Available
Jamaal Charles,Denver Broncos,Not Injury Related,DNP,FULL,FULL,Available
A.J. Derby,Denver Broncos,Not Injury Related,DNP,FULL,FULL,Available
Cody Latimer,Denver Broncos,Knee,DNP,DNP,DNP,Out
Paxton Lynch,Denver Broncos,Right Shoulder,DNP,DNP,DNP,Out
Brandon Marshall,Denver Broncos,Shoulder,DNP,LIMITED,FULL,Available
Isaiah McKenzie,Denver Broncos,Ankle,DNP,DNP,DNP,Out
Corey Nelson,Denver Broncos,Elbow,--,LIMITED,DNP,Out
Domata Peko,Denver Broncos,Not Injury Related,DNP,FULL,FULL,Available
Emmanuel Sanders,Denver Broncos,Ankle,DNP,DNP,DNP,Out
Trevor Siemian,Denver Broncos,Left Shoulder,FULL,FULL,FULL,Available
Donald Stephenson,Denver Broncos,Calf,--,--,DNP,Out
Aqib Talib,Denver Broncos,Not Injury Related,DNP,FULL,FULL,Available
Demaryius Thomas,Denver Broncos,Calf,DNP,LIMITED,FULL,Available
Menelik Watson,Denver Broncos,Calf,DNP,DNP,DNP,Out
David Bakhtiari,Green Bay Packers,Hamstring,LIMITED,LIMITED,LIMITED,Available
Ahmad Brooks,Green Bay Packers,Back,LIMITED,DNP,DNP,Out
Bryan Bulaga,Green Bay Packers,Concussion,LIMITED,LIMITED,FULL,Available
Morgan Burnett,Green Bay Packers,Hamstring,DNP,DNP,DNP,Out
Quinton Dial,Green Bay Packers,Chest,LIMITED,LIMITED,LIMITED,Available
Davon House,Green Bay Packers,Quadricep,LIMITED,LIMITED,LIMITED,Questionable
Kevin King,Green Bay Packers,Concussion,FULL,FULL,FULL,Available
Corey Linsley,Green Bay Packers,Back,--,--,LIMITED,Questionable
Ty Montgomery,Green Bay Packers,Ribs,FULL,FULL,FULL,Available
Nick Perry,Green Bay Packers,"Hand,knee",LIMITED,LIMITED,LIMITED,Available
Lenzy Pipkins,Green Bay Packers,Concussion,LIMITED,LIMITED,FULL,Available
Damarious Randall,Green Bay Packers,Hamstring,LIMITED,LIMITED,LIMITED,Questionable
Aaron Rodgers,Green Bay Packers,Right Collarbone,DNP,DNP,DNP,Out
Lane Taylor,Green Bay Packers,Ankle,DNP,DNP,DNP,Doubtful
Joe Thomas,Green Bay Packers,Ankle,DNP,DNP,DNP,Out
Darrell Daniels,Indianapolis Colts,Knee,--,DNP,FULL,Questionable
Frank Gore,Indianapolis Colts,Not Injury Related,--,DNP,FULL,Available
T.J. Green,Indianapolis Colts,Hamstring,--,LIMITED,FULL,Questionable
Ryan Kelly,Indianapolis Colts,Knee,--,--,FULL,Questionable
Andrew Luck,Indianapolis Colts,Left Shoulder,DNP,DNP,DNP,Out
John Simon,Indianapolis Colts,Shoulder,DNP,FULL,FULL,Available
Robert Turbin,Indianapolis Colts,Elbow,DNP,DNP,DNP,Out
Anthony Walker,Indianapolis Colts,Hamstring,DNP,DNP,DNP,Out
Blake Bortles,Jacksonville Jaguars,Right Wrist,FULL,FULL,FULL,Available
A.J. Bouye,Jacksonville Jaguars,Hamstring,DNP,LIMITED,FULL,Available
Leonard Fournette,Jacksonville Jaguars,Ankle,DNP,DNP,DNP,Questionable
Tashaun Gipson,Jacksonville Jaguars,Neck,DNP,LIMITED,LIMITED,Questionable
Marqise Lee,Jacksonville Jaguars,Knee,DNP,DNP,LIMITED,Questionable
Marcedes Lewis,Jacksonville Jaguars,Shoulder,LIMITED,LIMITED,FULL,Available
Brandon Linder,Jacksonville Jaguars,Illness,DNP,DNP,DNP,Out
Jalen Ramsey,Jacksonville Jaguars,Calf,LIMITED,LIMITED,FULL,Available
Allen Bailey,Kansas City Chiefs,Knee,FULL,FULL,FULL,Available
Laurent Duvernay-Tardif,Kansas City Chiefs,Knee,LIMITED,LIMITED,LIMITED,Out
Tyreek Hill,Kansas City Chiefs,Neck,FULL,FULL,FULL,Available
Kareem Hunt,Kansas City Chiefs,Knee,FULL,FULL,FULL,Available
Mitch Morse,Kansas City Chiefs,Foot,LIMITED,LIMITED,LIMITED,Out
Steven Terrell,Kansas City Chiefs,Concussion,FULL,FULL,FULL,Available
Charcandrick West,Kansas City Chiefs,Concussion,DNP,DNP,DNP,Out
Albert Wilson,Kansas City Chiefs,Knee,DNP,DNP,LIMITED,Questionable
Keenan Allen,Los Angeles Chargers,Shoulder,--,LIMITED,DNP,Questionable
Joe Barksdale,Los Angeles Chargers,Foot,DNP,DNP,DNP,Questionable
Jatavis Brown,Los Angeles Chargers,Ankle,FULL,FULL,FULL,Available
Melvin Gordon,Los Angeles Chargers,Shoulder,LIMITED,LIMITED,LIMITED,Questionable
