player_name,team,injury,wed_ps,thu_ps,fri_ps,final
John Brown,Arizona Cardinals,Toe,DNP,DNP,DNP,Out
Karlos Dansby,Arizona Cardinals,Not Injury Related,DNP,FULL,FULL,Available
Larry Fitzgerald,Arizona Cardinals,Not Injury Related,DNP,FULL,FULL,Available
Johnathan Ford,Arizona Cardinals,Knee,--,LIMITED,DNP,Questionable
Brittan Golden,Arizona Cardinals,Groin,--,DNP,DNP,Questionable
Chandler Jones,Arizona Cardinals,"Hip,knee",LIMITED,FULL,FULL,Available
Josh Mauro,Arizona Cardinals,Ankle,DNP,DNP,LIMITED,Questionable
J.J. Nelson,Arizona Cardinals,Chest,LIMITED,LIMITED,FULL,Available
Elijhaa Penny,Arizona Cardinals,Knee,DNP,DNP,DNP,Questionable
Corey Peters,Arizona Cardinals,Ankle,DNP,DNP,DNP,Out
Olsen Pierre,Arizona Cardinals,Shoulder,DNP,LIMITED,FULL,Available
A.Q. Shipley,Arizona Cardinals,Shoulder,LIMITED,LIMITED,FULL,Available
Drew Stanton,Arizona Cardinals,Knee,LIMITED,LIMITED,LIMITED,Questionable
Matt Bosher,Atlanta Falcons,Left Groin,DNP,DNP,LIMITED,Available
Devonta Freeman,Atlanta Falcons,Concussion,DNP,LIMITED,LIMITED,Out
Julio Jones,Atlanta Falcons,"Ankle,knee",LIMITED,LIMITED,LIMITED,Available
Andrew Levitre,Atlanta Falcons,Knee,LIMITED,LIMITED,LIMITED,Available
Alex Mack,Atlanta Falcons,Shoulder,LIMITED,FULL,FULL,Available
Dontari Poe,Atlanta Falcons,Hips,LIMITED,FULL,FULL,Available
Duke Riley,Atlanta Falcons,Knee,FULL,FULL,FULL,Available
Ty Sambrailo,Atlanta Falcons,Hamstring,DNP,DNP,DNP,Out
Jermaine Eluemunor,Baltimore Ravens,Shoulder,DNP,DNP,DNP,Out
Austin Howard,Baltimore Ravens,Knee,DNP,FULL,FULL,Questionable
Jeremy Maclin,Baltimore Ravens,Not Injury Related,--,--,DNP,Available
C.J. Mosley,Baltimore Ravens,Ankle,DNP,DNP,FULL,Questionable
Jimmy Smith,Baltimore Ravens,Achilles,DNP,DNP,FULL,Questionable
Ronnie Stanley,Baltimore Ravens,Concussion,LIMITED,FULL,FULL,Questionable
Terrell Suggs,Baltimore Ravens,Ankle,--,LIMITED,DNP,Questionable
Terrance West,Baltimore Ravens,Calf,FULL,FULL,FULL,Questionable
Kelvin Benjamin,Buffalo Bills,Knee,DNP,DNP,DNP,Questionable
Charles Clay,Buffalo Bills,Knee,LIMITED,LIMITED,LIMITED,Questionable
Dion Dawkins,Buffalo Bills,Illness,DNP,--,--,Available
Cordy Glenn,Buffalo Bills,"Foot,ankle",DNP,DNP,DNP,Out
Stephen Hauschka,Buffalo Bills,Right Hip,LIMITED,LIMITED,FULL,Available
Andre Holmes,Buffalo Bills,Ankle,FULL,FULL,FULL,Available
Micah Hyde,Buffalo Bills,Knee,FULL,FULL,FULL,Available
Jordan Matthews,Buffalo Bills,Knee,LIMITED,LIMITED,LIMITED,Questionable
