player_name,team,injury,wed_ps,thu_ps,fri_ps,final
Antoine Bethea,Arizona Cardinals,Knee,DNP,DNP,LIMITED,Questionable
Alex Boone,Arizona Cardinals,"Hip,knee",LIMITED,FULL,FULL,Available
John Brown,Arizona Cardinals,Toe,LIMITED,LIMITED,LIMITED,Questionable
Josh Bynes,Arizona Cardinals,Ankle,DNP,DNP,DNP,Out
Karlos Dansby,Arizona Cardinals,Knee,DNP,DNP,LIMITED,Questionable
Larry Fitzgerald,Arizona Cardinals,Not Injury Related,DNP,FULL,FULL,Available
Jermaine Gresham,Arizona Cardinals,Illness,LIMITED,LIMITED,FULL,Available
Gabe Martin,Arizona Cardinals,Hamstring,DNP,LIMITED,LIMITED,Questionable
Josh Mauro,Arizona Cardinals,Ankle,FULL,FULL,FULL,Available
Troy Niklas,Arizona Cardinals,Ankle,DNP,DNP,DNP,Out
Robert Nkemdiche,Arizona Cardinals,Wrist,DNP,LIMITED,FULL,Available
Corey Peters,Arizona Cardinals,Ankle,LIMITED,LIMITED,FULL,Available
Olsen Pierre,Arizona Cardinals,Illness,DNP,DNP,LIMITED,Questionable
Frostee Rucker,Arizona Cardinals,Not Injury Related,DNP,FULL,FULL,Available
Earl Watford,Arizona Cardinals,Ankle,DNP,DNP,DNP,Out
John Wetzel,Arizona Cardinals,Knee,LIMITED,LIMITED,FULL,Available
Chad Williams,Arizona Cardinals,Illness,DNP,LIMITED,DNP,Questionable
Kerwynn Williams,Arizona Cardinals,"Quadricep,ribs",DNP,DNP,LIMITED,Questionable
Tevin Coleman,Atlanta Falcons,Concussion,LIMITED,FULL,FULL,Available
Julio Jones,Atlanta Falcons,"Ankle,thumb",DNP,LIMITED,LIMITED,Available
Andrew Levitre,Atlanta Falcons,Triceps,LIMITED,LIMITED,LIMITED,Questionable
Mohamed Sanu,Atlanta Falcons,Knee,LIMITED,LIMITED,FULL,Available
Maurice Canady,Baltimore Ravens,Knee,LIMITED,LIMITED,FULL,Questionable
Carl Davis,Baltimore Ravens,Shoulder,LIMITED,LIMITED,FULL,Questionable
Matt Judon,Baltimore Ravens,Illness,--,LIMITED,--,Available
Anthony Levine,Baltimore Ravens,Thigh,LIMITED,LIMITED,LIMITED,Questionable
Jeremy Maclin,Baltimore Ravens,Knee,DNP,DNP,DNP,Doubtful
Ronnie Stanley,Baltimore Ravens,Illness,--,--,DNP,Questionable
Terrell Suggs,Baltimore Ravens,Not Injury Related,--,--,DNP,Available
Lorenzo Alexander,Buffalo Bills,Not Injury Related,DNP,--,--,Available
Kelvin Benjamin,Buffalo Bills,Knee,DNP,LIMITED,LIMITED,Questionable
Charles Clay,Buffalo Bills,Knee,LIMITED,LIMITED,LIMITED,Available
E.J. Gaines,Buffalo Bills,Knee,DNP,LIMITED,LIMITED,Questionable
Andre Holmes,Buffalo Bills,Neck,DNP,DNP,DNP,Out
Richie Incognito,Buffalo Bills,Not Injury Related,--,LIMITED,--,Available
LeSean McCoy,Buffalo Bills,"Knee,not Injury Related",LIMITED,LIMITED,DNP,Available
John Miller,Buffalo Bills,Ankle,LIMITED,LIMITED,LIMITED,Questionable
Nick O'Leary,Buffalo Bills,Back,DNP,LIMITED,LIMITED,Questionable
Nathan Peterman,Buffalo Bills,Concussion,FULL,FULL,FULL,Available
Deonte Thompson,Buffalo Bills,Back,LIMITED,FULL,FULL,Available
Kyle Williams,Buffalo Bills,Groin,DNP,DNP,DNP,Questionable
Mike Adams,Carolina Panthers,Not Injury Related,DNP,FULL,FULL,Available
Mario Addison,Carolina Panthers,Hip,DNP,DNP,LIMITED,Questionable
Devin Funchess,Carolina Panthers,Shoulder,DNP,DNP,LIMITED,Questionable
Tyler Larsen,Carolina Panthers,Foot,LIMITED,LIMITED,LIMITED,Questionable
Cam Newton,Carolina Panthers,Right Shoulder,LIMITED,LIMITED,FULL,Available
Greg Olsen,Carolina Panthers,Foot,FULL,FULL,FULL,Available
Julius Peppers,Carolina Panthers,Not Injury Related,DNP,DNP,FULL,Available
Russell Shepard,Carolina Panthers,Shoulder,DNP,DNP,LIMITED,Questionable
Shaq Thompson,Carolina Panthers,Foot,LIMITED,LIMITED,LIMITED,Questionable
