player_name,team,injury,wed_ps,thu_ps,fri_ps,final
John Brown,Arizona Cardinals,Quadricep,DNP,DNP,DNP,Out
Deone Bucannon,Arizona Cardinals,Ankle,LIMITED,LIMITED,LIMITED,Questionable
Karlos Dansby,Arizona Cardinals,Hip,LIMITED,LIMITED,FULL,Available
Jermaine Gresham,Arizona Cardinals,Ribs,LIMITED,LIMITED,LIMITED,Questionable
D.J. Humphries,Arizona Cardinals,Knee,DNP,DNP,DNP,Out
Mike Iupati,Arizona Cardinals,Tricep,LIMITED,LIMITED,LIMITED,Questionable
J.J. Nelson,Arizona Cardinals,Hamstring,LIMITED,LIMITED,LIMITED,Questionable
Carson Palmer,Arizona Cardinals,Not Injury Related,--,DNP,FULL,Available
Vic Beasley,Atlanta Falcons,Hamstring,DNP,DNP,DNP,Out
Brian Hill,Atlanta Falcons,Ankle,FULL,FULL,FULL,Available
Ryan Schraeder,Atlanta Falcons,Concussion,DNP,DNP,DNP,Out
Courtney Upshaw,Atlanta Falcons,"Ankle,knee",DNP,DNP,DNP,Out
Terron Ward,Atlanta Falcons,"Neck,shoulder",--,LIMITED,DNP,Out
Michael Campanaro,Baltimore Ravens,Ankle,DNP,FULL,FULL,Questionable
Jaylen Hill,Baltimore Ravens,Thigh,DNP,DNP,DNP,Out
Dieugot Joseph,Baltimore Ravens,Not Injury Related,--,--,DNP,Out
Anthony Levine,Baltimore Ravens,Chest,LIMITED,FULL,FULL,Questionable
Chris Matthews,Baltimore Ravens,Ankle,--,LIMITED,FULL,Questionable
Za'Darius Smith,Baltimore Ravens,"Knee,ankle",FULL,FULL,FULL,Questionable
Terrance West,Baltimore Ravens,Calf,DNP,DNP,FULL,Questionable
Brandon Williams,Baltimore Ravens,Foot,DNP,DNP,DNP,Out
Maxx Williams,Baltimore Ravens,Ankle,DNP,DNP,DNP,Out
Lorenzo Alexander,Buffalo Bills,Not Injury Related,DNP,--,--,Available
Colt Anderson,Buffalo Bills,Foot,LIMITED,LIMITED,FULL,Available
Charles Clay,Buffalo Bills,Knee,LIMITED,FULL,FULL,Available
Kaelin Clay,Buffalo Bills,Foot,--,LIMITED,FULL,Available
Marcell Dareus,Buffalo Bills,Ankle,DNP,DNP,DNP,Out
Cordy Glenn,Buffalo Bills,"Ankle,foot",DNP,LIMITED,DNP,Out
Deon Lacey,Buffalo Bills,Hamstring,LIMITED,LIMITED,FULL,Available
Shaq Lawson,Buffalo Bills,Foot,DNP,LIMITED,FULL,Available
LeSean McCoy,Buffalo Bills,Wrist,DNP,FULL,FULL,Available
Matt Milano,Buffalo Bills,Hamstring,LIMITED,FULL,FULL,Available
Nick O'Leary,Buffalo Bills,Hamstring,--,LIMITED,FULL,Available
Jerel Worthy,Buffalo Bills,Concussion,DNP,DNP,DNP,Out
Kelvin Benjamin,Carolina Panthers,Knee,DNP,FULL,FULL,Available
Vernon Butler,Carolina Panthers,Shoulder,LIMITED,FULL,FULL,Available
Jeremy Cash,Carolina Panthers,Calf,LIMITED,DNP,DNP,Out
Thomas Davis,Carolina Panthers,Not Injury Related,DNP,FULL,FULL,Available
Charles Johnson,Carolina Panthers,Not Injury Related,--,DNP,FULL,Available
Ryan Kalil,Carolina Panthers,Neck,DNP,DNP,DNP,Out
Cam Newton,Carolina Panthers,"Right Shoulder,ankle",LIMITED,LIMITED,LIMITED,Questionable
Julius Peppers,Carolina Panthers,Not Injury Related,DNP,FULL,FULL,Available
Jonathan Stewart,Carolina Panthers,Not Injury Related,--,DNP,FULL,Available
Daryl Worley,Carolina Panthers,Knee,DNP,FULL,FULL,Available
Prince Amukamara,Chicago Bears,Ankle,LIMITED,FULL,--,Available
Deon Bush,Chicago Bears,Hamstring,FULL,--,--,Available
Tom Compton,Chicago Bears,Hip,DNP,LIMITED,LIMITED,Questionable
Benny Cunningham,Chicago Bears,Ankle,LIMITED,FULL,--,Available
Akiem Hicks,Chicago Bears,Shoulder,LIMITED,LIMITED,FULL,Available
Jordan Howard,Chicago Bears,Shoulder,LIMITED,LIMITED,FULL,Available
Nick Kwiatkoski,Chicago Bears,Chest,DNP,DNP,DNP,Out
Kyle Long,Chicago Bears,Ankle,LIMITED,FULL,--,Available
Zach Miller,Chicago Bears,Not Injury Related,--,DNP,FULL,Available
Mark Sanchez,Chicago Bears,Neck,DNP,FULL,--,Available
Josh Sitton,Chicago Bears,Ribs,DNP,DNP,DNP,Doubtful
Markus Wheaton,Chicago Bears,Finger,FULL,--,--,Available
Kendall Wright,Chicago Bears,Shoulder,LIMITED,LIMITED,FULL,Available
Geno Atkins,Cincinnati Bengals,Shoulder,LIMITED,LIMITED,FULL,Available
Tyler Eifert,Cincinnati Bengals,Back,DNP,DNP,DNP,Out
Jake Fisher,Cincinnati Bengals,Illness,LIMITED,FULL,FULL,Available
Trey Hopkins,Cincinnati Bengals,Knee,DNP,DNP,DNP,Out
Michael Johnson,Cincinnati Bengals,"Concussion,stinger",LIMITED,LIMITED,FULL,Questionable
Cedric Ogbuehi,Cincinnati Bengals,Illness,LIMITED,FULL,FULL,Available
John Ross,Cincinnati Bengals,Knee,LIMITED,DNP,DNP,Out
KeiVarae Russell,Cincinnati Bengals,Hamstring,--,LIMITED,LIMITED,Questionable
Pat Sims,Cincinnati Bengals,Elbow,FULL,FULL,FULL,Available
Derron Smith,Cincinnati Bengals,Ankle,--,LIMITED,DNP,Questionable
Kenny Britt,Cleveland Browns,Knee,FULL,FULL,FULL,Available
Sammie Coates,Cleveland Browns,Hamstring,DNP,DNP,DNP,Doubtful
Jamie Collins,Cleveland Browns,Concussion,DNP,DNP,DNP,Out
Myles Garrett,Cleveland Browns,Ankle,DNP,DNP,DNP,Doubtful
T.Y. McGill,Cleveland Browns,Back,LIMITED,LIMITED,LIMITED,Questionable
Randall Telfer,Cleveland Browns,Knee,FULL,FULL,FULL,Available
Joe Thomas,Cleveland Browns,Knee,DNP,FULL,FULL,Available
