player_name,team,injury,wed_ps,thu_ps,fri_ps,final
John Brown,Arizona Cardinals,Back,LIMITED,DNP,LIMITED,Questionable
Karlos Dansby,Arizona Cardinals,Not Injury Related,DNP,FULL,FULL,Available
Brittan Golden,Arizona Cardinals,Groin,FULL,FULL,FULL,Available
Corey Peters,Arizona Cardinals,Ankle,DNP,DNP,DNP,Out
Frostee Rucker,Arizona Cardinals,"Toe,thumb",FULL,FULL,FULL,Available
A.Q. Shipley,Arizona Cardinals,Shoulder,LIMITED,LIMITED,LIMITED,Questionable
Drew Stanton,Arizona Cardinals,Knee,LIMITED,LIMITED,LIMITED,Questionable
John Wetzel,Arizona Cardinals,Back,LIMITED,LIMITED,LIMITED,Questionable
Matt Bosher,Atlanta Falcons,Left Ankle,LIMITED,DNP,LIMITED,Questionable
Devonta Freeman,Atlanta Falcons,Concussion,DNP,DNP,DNP,Out
Grady Jarrett,Atlanta Falcons,Knee,LIMITED,FULL,FULL,Available
Julio Jones,Atlanta Falcons,Ankle,DNP,LIMITED,LIMITED,Available
Andrew Levitre,Atlanta Falcons,Knee,DNP,LIMITED,LIMITED,Available
Takkarist McKinley,Atlanta Falcons,Shoulder,LIMITED,FULL,FULL,Available
Duke Riley,Atlanta Falcons,Knee,LIMITED,LIMITED,LIMITED,Questionable
Terron Ward,Atlanta Falcons,Knee,LIMITED,LIMITED,LIMITED,Available
Nick Boyle,Baltimore Ravens,Toe,FULL,FULL,FULL,Questionable
Michael Campanaro,Baltimore Ravens,Shoulder,FULL,FULL,FULL,Questionable
Chuck Clark,Baltimore Ravens,Thigh,FULL,FULL,FULL,Questionable
Jimmy Smith,Baltimore Ravens,Achilles,DNP,DNP,LIMITED,Questionable
Ronnie Stanley,Baltimore Ravens,Concussion,LIMITED,LIMITED,LIMITED,Doubtful
Terrell Suggs,Baltimore Ravens,Not Injury Related,--,--,DNP,Available
Terrance West,Baltimore Ravens,Calf,FULL,FULL,FULL,Questionable
Tim Williams,Baltimore Ravens,Thigh,FULL,FULL,FULL,Questionable
Lorenzo Alexander,Buffalo Bills,Not Injury Related,DNP,--,--,Available
Charles Clay,Buffalo Bills,Knee,DNP,LIMITED,LIMITED,Questionable
