player_name,pos,team_name,snap_num,short_r__tckl,short_r__dfnd,short_mid__tckl,short_mid__dfnd,short_l__tckl,short_l__dfnd,deep_r__tckl,deep_r__dfnd,deep_mid__tckl,deep_mid__dfnd,deep_l__tckl,deep_l__dfnd
Justin Bethel,CB,Arizona Cardinals,380,0.3181818181818182,0.045454545454545456,0.13636363636363635,0.0,0.3181818181818182,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0
Harlan Miller,CB,Arizona Cardinals,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Peterson,CB,Arizona Cardinals,835,0.375,0.03125,0.09375,0.0625,0.3125,0.03125,0.0,0.03125,0.0,0.0,0.0625,0.0
Tramon Williams,CB,Arizona Cardinals,661,0.20454545454545456,0.022727272727272728,0.09090909090909091,0.0,0.4318181818181818,0.18181818181818182,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.0
Tyrann Mathieu,FS,Arizona Cardinals,1053,0.3018867924528302,0.0,0.3018867924528302,0.03773584905660377,0.2641509433962264,0.03773584905660377,0.03773584905660377,0.0,0.0,0.018867924528301886,0.0,0.0
Antoine Bethea,SS,Arizona Cardinals,644,0.1,0.0,0.43333333333333335,0.03333333333333333,0.36666666666666664,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
Tyvon Branch,SS,Arizona Cardinals,484,0.30303030303030304,0.030303030303030304,0.24242424242424243,0.06060606060606061,0.15151515151515152,0.06060606060606061,0.12121212121212122,0.0,0.030303030303030304,0.0,0.0,0.0
Robert Alford,CB,Atlanta Falcons,912,0.10294117647058823,0.014705882352941176,0.08823529411764706,0.029411764705882353,0.5147058823529411,0.16176470588235295,0.014705882352941176,0.0,0.0,0.014705882352941176,0.058823529411764705,0.0
C.J. Goodwin,CB,Atlanta Falcons,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Poole,CB,Atlanta Falcons,631,0.4,0.04,0.08,0.02,0.4,0.0,0.04,0.0,0.0,0.0,0.02,0.0
Desmond Trufant,CB,Atlanta Falcons,785,0.47058823529411764,0.17647058823529413,0.14705882352941177,0.029411764705882353,0.08823529411764706,0.0,0.058823529411764705,0.0,0.0,0.029411764705882353,0.0,0.0
Blidi Wreh-Wilson,CB,Atlanta Falcons,57,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Kemal Ishmael,FS,Atlanta Falcons,63,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
Keanu Neal,FS,Atlanta Falcons,916,0.3333333333333333,0.015873015873015872,0.23809523809523808,0.031746031746031744,0.2857142857142857,0.031746031746031744,0.047619047619047616,0.0,0.015873015873015872,0.0,0.0,0.0
Ricardo Allen,SS,Atlanta Falcons,619,0.3,0.0,0.23333333333333334,0.03333333333333333,0.3333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0
Damontae Kazee,SS,Atlanta Falcons,128,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
Maurice Canady,CB,Baltimore Ravens,311,0.38095238095238093,0.0,0.2857142857142857,0.047619047619047616,0.23809523809523808,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
Brandon Carr,CB,Baltimore Ravens,884,0.5416666666666666,0.041666666666666664,0.08333333333333333,0.0625,0.0625,0.0,0.10416666666666667,0.0625,0.041666666666666664,0.0,0.0,0.0
Marlon Humphrey,CB,Baltimore Ravens,477,0.15151515151515152,0.0,0.18181818181818182,0.030303030303030304,0.36363636363636365,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.0,0.0,0.09090909090909091,0.0
Jimmy Smith,CB,Baltimore Ravens,524,0.11538461538461539,0.0,0.11538461538461539,0.038461538461538464,0.5,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0,0.07692307692307693,0.0
Lardarius Webb,FS,Baltimore Ravens,354,0.4166666666666667,0.0,0.25,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0
Eric Weddle,FS,Baltimore Ravens,925,0.19230769230769232,0.0,0.15384615384615385,0.0,0.5,0.0,0.0,0.0,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0
Tony Jefferson,SS,Baltimore Ravens,930,0.3142857142857143,0.02857142857142857,0.2857142857142857,0.0,0.17142857142857143,0.0,0.02857142857142857,0.0,0.11428571428571428,0.0,0.05714285714285714,0.0
E.J. Gaines,CB,Buffalo Bills,583,0.0,0.0,0.1276595744680851,0.0425531914893617,0.7021276595744681,0.0851063829787234,0.0,0.0,0.0,0.0,0.0425531914893617,0.0
Leonard Johnson,CB,Buffalo Bills,607,0.40425531914893614,0.02127659574468085,0.2127659574468085,0.0,0.2127659574468085,0.0851063829787234,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.0
Lafayette Pitts,CB,Buffalo Bills,19,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TreDavious White,CB,Buffalo Bills,1024,0.5084745762711864,0.0847457627118644,0.05084745762711865,0.03389830508474576,0.0847457627118644,0.0,0.11864406779661017,0.11864406779661017,0.0,0.0,0.0,0.0
Shareece Wright,CB,Buffalo Bills,386,0.125,0.0,0.15625,0.0,0.5625,0.09375,0.0,0.0,0.0,0.03125,0.03125,0.0
Jordan Poyer,FS,Buffalo Bills,980,0.21568627450980393,0.0392156862745098,0.21568627450980393,0.058823529411764705,0.3333333333333333,0.0,0.0784313725490196,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.0
Trae Elston,SS,Buffalo Bills,92,0.2,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Micah Hyde,SS,Buffalo Bills,940,0.2653061224489796,0.061224489795918366,0.14285714285714285,0.02040816326530612,0.3469387755102041,0.0,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.061224489795918366,0.0
James Bradberry,CB,Carolina Panthers,986,0.5230769230769231,0.046153846153846156,0.1076923076923077,0.015384615384615385,0.1076923076923077,0.015384615384615385,0.06153846153846154,0.015384615384615385,0.06153846153846154,0.0,0.046153846153846156,0.0
Captain Munnerlyn,CB,Carolina Panthers,344,0.32,0.08,0.12,0.0,0.44,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Daryl Worley,CB,Carolina Panthers,726,0.10909090909090909,0.03636363636363636,0.05454545454545454,0.0,0.6545454545454545,0.09090909090909091,0.0,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.0
Jairus Byrd,FS,Carolina Panthers,81,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Kurt Coleman,FS,Carolina Panthers,716,0.34782608695652173,0.0,0.13043478260869565,0.0,0.34782608695652173,0.021739130434782608,0.0,0.0,0.06521739130434782,0.0,0.08695652173913043,0.0
Mike Adams,SS,Carolina Panthers,681,0.2857142857142857,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.34285714285714286,0.02857142857142857,0.0,0.0,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0
Demetrious Cox,SS,Carolina Panthers,38,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Prince Amukamara,CB,Chicago Bears,756,0.0,0.0,0.075,0.0,0.6,0.1,0.0,0.025,0.075,0.025,0.1,0.0
Bryce Callahan,CB,Chicago Bears,430,0.3181818181818182,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
Marcus Cooper,CB,Chicago Bears,212,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
Kyle Fuller,CB,Chicago Bears,1017,0.47058823529411764,0.14705882352941177,0.058823529411764705,0.029411764705882353,0.10294117647058823,0.014705882352941176,0.058823529411764705,0.07352941176470588,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.0
Cre'von LeBlanc,CB,Chicago Bears,139,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
Adrian Amos,FS,Chicago Bears,654,0.36585365853658536,0.024390243902439025,0.24390243902439024,0.0,0.2682926829268293,0.0,0.024390243902439025,0.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0
Eddie Jackson,FS,Chicago Bears,939,0.2702702702702703,0.02702702702702703,0.1891891891891892,0.0,0.2972972972972973,0.0,0.08108108108108109,0.0,0.05405405405405406,0.0,0.08108108108108109,0.0
Deon Bush,SS,Chicago Bears,59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quintin Demps,SS,Chicago Bears,177,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0
Darqueze Dennard,CB,Cincinnati Bengals,899,0.3728813559322034,0.0,0.2033898305084746,0.0,0.288135593220339,0.05084745762711865,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.0,0.01694915254237288,0.0
William Jackson,CB,Cincinnati Bengals,481,0.2,0.05,0.1,0.0,0.45,0.15,0.0,0.05,0.0,0.0,0.0,0.0
Adam Jones,CB,Cincinnati Bengals,273,0.0,0.0,0.05555555555555555,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0
