player_name,pos,team_name,snap_num,short_l__tgt,short_mid__tgt,short_r__tgt,deep_l__tgt,deep_mid__tgt,deep_r__tgt
Chris Johnson,RB,Arizona Cardinals,90,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0
David Johnson,RB,Arizona Cardinals,46,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.0,0.0
Jermaine Gresham,TE,Arizona Cardinals,750,0.2391304347826087,0.45652173913043476,0.2391304347826087,0.0,0.06521739130434782,0.0
Ifeanyi Momah,TE,Arizona Cardinals,21,0.5,0.0,0.0,0.5,0.0,0.0
Troy Niklas,TE,Arizona Cardinals,331,0.21739130434782608,0.43478260869565216,0.2608695652173913,0.0,0.08695652173913043,0.0
Jaron Brown,WR,Arizona Cardinals,718,0.2318840579710145,0.15942028985507245,0.17391304347826086,0.18840579710144928,0.10144927536231885,0.14492753623188406
John Brown,WR,Arizona Cardinals,491,0.2037037037037037,0.09259259259259259,0.3888888888888889,0.12962962962962962,0.037037037037037035,0.14814814814814814
Larry Fitzgerald,WR,Arizona Cardinals,1071,0.2654320987654321,0.2345679012345679,0.3148148148148148,0.06790123456790123,0.04938271604938271,0.06790123456790123
Tevin Coleman,RB,Atlanta Falcons,356,0.3333333333333333,0.3076923076923077,0.28205128205128205,0.05128205128205128,0.02564102564102564,0.0
Devonta Freeman,RB,Atlanta Falcons,498,0.3404255319148936,0.2765957446808511,0.3617021276595745,0.0,0.02127659574468085,0.0
Terron Ward,RB,Atlanta Falcons,57,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Austin Hooper,TE,Atlanta Falcons,788,0.27692307692307694,0.2,0.4,0.06153846153846154,0.06153846153846154,0.0
Levine Toilolo,TE,Atlanta Falcons,245,0.07142857142857142,0.35714285714285715,0.42857142857142855,0.14285714285714285,0.0,0.0
Taylor Gabriel,WR,Atlanta Falcons,540,0.4117647058823529,0.1568627450980392,0.2549019607843137,0.0784313725490196,0.0196078431372549,0.0784313725490196
Justin Hardy,WR,Atlanta Falcons,285,0.3448275862068966,0.2413793103448276,0.3103448275862069,0.0,0.034482758620689655,0.06896551724137931
Julio Jones,WR,Atlanta Falcons,765,0.22972972972972974,0.11486486486486487,0.2702702702702703,0.19594594594594594,0.0472972972972973,0.14189189189189189
Mohamed Sanu,WR,Atlanta Falcons,755,0.34375,0.22916666666666666,0.3020833333333333,0.052083333333333336,0.03125,0.041666666666666664
Nick Williams,WR,Atlanta Falcons,28,0.25,0.25,0.25,0.0,0.25,0.0
Javorius Allen,RB,Baltimore Ravens,464,0.18333333333333332,0.36666666666666664,0.45,0.0,0.0,0.0
Alex Collins,RB,Baltimore Ravens,307,0.08333333333333333,0.3888888888888889,0.5277777777777778,0.0,0.0,0.0
Nick Boyle,TE,Baltimore Ravens,695,0.16216216216216217,0.2972972972972973,0.5135135135135135,0.0,0.0,0.02702702702702703
Ben Watson,TE,Baltimore Ravens,700,0.11392405063291139,0.3924050632911392,0.4050632911392405,0.0379746835443038,0.02531645569620253,0.02531645569620253
Maxx Williams,TE,Baltimore Ravens,252,0.05555555555555555,0.4444444444444444,0.4444444444444444,0.0,0.0,0.05555555555555555
Michael Campanaro,WR,Baltimore Ravens,227,0.1111111111111111,0.5925925925925926,0.25925925925925924,0.0,0.0,0.037037037037037035
Jeremy Maclin,WR,Baltimore Ravens,512,0.1111111111111111,0.4166666666666667,0.2777777777777778,0.041666666666666664,0.06944444444444445,0.08333333333333333
Chris Matthews,WR,Baltimore Ravens,44,0.16666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0
Chris Moore,WR,Baltimore Ravens,326,0.13157894736842105,0.23684210526315788,0.2631578947368421,0.05263157894736842,0.0,0.3157894736842105
Breshad Perriman,WR,Baltimore Ravens,385,0.3142857142857143,0.2,0.17142857142857143,0.02857142857142857,0.05714285714285714,0.22857142857142856
Mike Wallace,WR,Baltimore Ravens,714,0.17204301075268819,0.2903225806451613,0.20430107526881722,0.12903225806451613,0.06451612903225806,0.13978494623655913
Griff Whalen,WR,Baltimore Ravens,58,0.0,0.16666666666666666,0.5,0.0,0.0,0.3333333333333333
Patrick DiMarco,FB,Buffalo Bills,113,0.5,0.3,0.2,0.0,0.0,0.0
Mike Tolbert,FB,Buffalo Bills,175,0.29411764705882354,0.5882352941176471,0.11764705882352941,0.0,0.0,0.0
Travaris Cadet,RB,Buffalo Bills,107,0.42105263157894735,0.2631578947368421,0.2631578947368421,0.0,0.05263157894736842,0.0
LeSean McCoy,RB,Buffalo Bills,669,0.4025974025974026,0.22077922077922077,0.3246753246753247,0.012987012987012988,0.0,0.03896103896103896
Charles Clay,TE,Buffalo Bills,575,0.2972972972972973,0.1891891891891892,0.36486486486486486,0.05405405405405406,0.0,0.0945945945945946
Nick O'Leary,TE,Buffalo Bills,495,0.28125,0.21875,0.25,0.09375,0.0,0.15625
Logan Thomas,TE,Buffalo Bills,113,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0
Zay Jones,WR,Buffalo Bills,751,0.35135135135135137,0.12162162162162163,0.22972972972972974,0.10810810810810811,0.013513513513513514,0.17567567567567569
Jordan Matthews,WR,Buffalo Bills,508,0.2777777777777778,0.25,0.4166666666666667,0.027777777777777776,0.0,0.027777777777777776
Deonte Thompson,WR,Buffalo Bills,653,0.2318840579710145,0.11594202898550725,0.3333333333333333,0.11594202898550725,0.0,0.2028985507246377
Christian McCaffrey,RB,Carolina Panthers,746,0.4336283185840708,0.19469026548672566,0.34513274336283184,0.008849557522123894,0.0,0.017699115044247787
Jonathan Stewart,RB,Carolina Panthers,276,0.4,0.0,0.6,0.0,0.0,0.0
Ed Dickson,TE,Carolina Panthers,817,0.22916666666666666,0.14583333333333334,0.3333333333333333,0.10416666666666667,0.10416666666666667,0.08333333333333333
Chris Manhertz,TE,Carolina Panthers,67,0.5,0.0,0.5,0.0,0.0,0.0
Greg Olsen,TE,Carolina Panthers,358,0.34210526315789475,0.10526315789473684,0.3157894736842105,0.02631578947368421,0.07894736842105263,0.13157894736842105
Kelvin Benjamin,WR,Carolina Panthers,598,0.44155844155844154,0.1038961038961039,0.22077922077922077,0.11688311688311688,0.025974025974025976,0.09090909090909091
Brenton Bersin,WR,Carolina Panthers,136,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.21428571428571427
Damiere Byrd,WR,Carolina Panthers,186,0.35294117647058826,0.0,0.5294117647058824,0.0,0.058823529411764705,0.058823529411764705
Devin Funchess,WR,Carolina Panthers,841,0.3153153153153153,0.12612612612612611,0.24324324324324326,0.15315315315315314,0.04504504504504504,0.11711711711711711
Curtis Samuel,WR,Carolina Panthers,190,0.46153846153846156,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.11538461538461539
Russell Shepard,WR,Carolina Panthers,419,0.24242424242424243,0.21212121212121213,0.30303030303030304,0.12121212121212122,0.030303030303030304,0.09090909090909091
Michael Burton,FB,Chicago Bears,58,1.0,0.0,0.0,0.0,0.0,0.0
Benny Cunningham,RB,Chicago Bears,147,0.3076923076923077,0.15384615384615385,0.5384615384615384,0.0,0.0,0.0
Jordan Howard,RB,Chicago Bears,405,0.40625,0.21875,0.375,0.0,0.0,0.0
Daniel Brown,TE,Chicago Bears,219,0.25,0.15,0.45,0.05,0.05,0.05
Zach Miller,TE,Chicago Bears,314,0.14285714285714285,0.22857142857142856,0.42857142857142855,0.02857142857142857,0.02857142857142857,0.14285714285714285
Adam Shaheen,TE,Chicago Bears,160,0.14285714285714285,0.2857142857142857,0.5,0.0,0.07142857142857142,0.0
