team_name,short_l__tgt,short_mid__tgt,short_r__tgt,deep_l__tgt,deep_mid__tgt,deep_r__tgt
Arizona Cardinals,0.272419627749577,0.2233502538071066,0.29780033840947545,0.09137055837563451,0.047377326565143825,0.0676818950930626
Atlanta Falcons,0.29651162790697677,0.19767441860465115,0.3081395348837209,0.09108527131782945,0.04263565891472868,0.06395348837209303
Baltimore Ravens,0.15949820788530467,0.35842293906810035,0.3333333333333333,0.03942652329749104,0.026881720430107527,0.08243727598566308
Buffalo Bills,0.3141025641025641,0.19444444444444445,0.3034188034188034,0.057692307692307696,0.017094017094017096,0.11324786324786325
Carolina Panthers,0.36585365853658536,0.13211382113821138,0.3008130081300813,0.08333333333333333,0.04065040650406504,0.07723577235772358
Chicago Bears,0.2575107296137339,0.21244635193133046,0.37339055793991416,0.04935622317596566,0.03862660944206009,0.06866952789699571
Cincinnati Bengals,0.26954732510288065,0.2366255144032922,0.3271604938271605,0.06172839506172839,0.03292181069958848,0.0720164609053498
Cleveland Browns,0.24778761061946902,0.1504424778761062,0.35221238938053095,0.08495575221238938,0.04601769911504425,0.11858407079646018
Dallas Cowboys,0.3305785123966942,0.19421487603305784,0.31611570247933884,0.05991735537190083,0.028925619834710745,0.07024793388429752
Denver Broncos,0.35934664246823955,0.16515426497277677,0.30127041742286753,0.07441016333938294,0.029038112522686024,0.07078039927404718
Detroit Lions,0.2994652406417112,0.1925133689839572,0.33511586452762926,0.0659536541889483,0.035650623885918005,0.07130124777183601
Green Bay Packers,0.33815551537070526,0.16636528028933092,0.3435804701627486,0.048824593128390596,0.02531645569620253,0.07775768535262206
Houston Texans,0.31334622823984526,0.172147001934236,0.2746615087040619,0.09671179883945841,0.04448742746615087,0.09864603481624758
Indianapolis Colts,0.2923728813559322,0.21822033898305085,0.3432203389830508,0.05296610169491525,0.025423728813559324,0.06779661016949153
Jacksonville Jaguars,0.2572533849129594,0.2611218568665377,0.2940038684719536,0.07736943907156674,0.05415860735009671,0.05609284332688588
Kansas City Chiefs,0.328125,0.171875,0.3125,0.076171875,0.04296875,0.068359375
Los Angeles Chargers,0.34440559440559443,0.18006993006993008,0.2972027972027972,0.06993006993006994,0.0472027972027972,0.06118881118881119
Los Angeles Rams,0.29158512720156554,0.16829745596868884,0.35812133072407043,0.05870841487279843,0.050880626223091974,0.07240704500978473
Miami Dolphins,0.33503401360544216,0.1717687074829932,0.30952380952380953,0.07993197278911565,0.015306122448979591,0.08843537414965986
Minnesota Vikings,0.29693486590038315,0.16283524904214558,0.3505747126436782,0.08237547892720307,0.02490421455938697,0.08237547892720307
New England Patriots,0.3561643835616438,0.2191780821917808,0.2191780821917808,0.09417808219178082,0.05821917808219178,0.053082191780821915
New Orleans Saints,0.33081285444234404,0.1323251417769376,0.3686200378071834,0.07561436672967864,0.034026465028355386,0.05860113421550094
New York Giants,0.2961730449251248,0.2628951747088186,0.30615640599001664,0.0632279534109817,0.024958402662229616,0.04658901830282862
New York Jets,0.30831643002028397,0.18052738336713997,0.3488843813387424,0.0486815415821501,0.036511156186612576,0.07707910750507099
Oakland Raiders,0.3170289855072464,0.19021739130434784,0.31521739130434784,0.08333333333333333,0.036231884057971016,0.057971014492753624
Philadelphia Eagles,0.3039568345323741,0.16546762589928057,0.3237410071942446,0.07733812949640288,0.046762589928057555,0.08273381294964029
Pittsburgh Steelers,0.25263157894736843,0.256140350877193,0.27017543859649124,0.06666666666666667,0.05263157894736842,0.10175438596491228
San Francisco 49ers,0.32608695652173914,0.1939799331103679,0.3193979933110368,0.07525083612040134,0.038461538461538464,0.046822742474916385
Seattle Seahawks,0.29333333333333333,0.17904761904761904,0.2895238095238095,0.10285714285714286,0.06476190476190476,0.07047619047619047
Tampa Bay Buccaneers,0.30084033613445377,0.17647058823529413,0.29747899159663865,0.07394957983193277,0.06554621848739496,0.08571428571428572
Tennessee Titans,0.33954451345755693,0.16563146997929606,0.2857142857142857,0.08695652173913043,0.055900621118012424,0.06625258799171843
Washington Redskins,0.26591760299625467,0.2303370786516854,0.34269662921348315,0.05056179775280899,0.0449438202247191,0.06554307116104868
