player_name,pos,team_name,snap_num,l_end__att,l_tckl__att,l_guard__att,mid__att,r_guard__att,r_tckl__att,r_end__att
Andre Ellington,RB,Arizona Cardinals,262,0.0,0.2,0.05,0.6,0.05,0.0,0.1
D.J. Foster,RB,Arizona Cardinals,83,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0
Chris Johnson,RB,Arizona Cardinals,107,0.13333333333333333,0.13333333333333333,0.0,0.4666666666666667,0.044444444444444446,0.044444444444444446,0.17777777777777778
David Johnson,RB,Arizona Cardinals,46,0.3,0.3,0.0,0.2,0.0,0.1,0.1
Chad Williams,WR,Arizona Cardinals,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tevin Coleman,RB,Atlanta Falcons,424,0.20915032679738563,0.1568627450980392,0.1568627450980392,0.0784313725490196,0.11764705882352941,0.1503267973856209,0.13071895424836602
Devonta Freeman,RB,Atlanta Falcons,551,0.17277486910994763,0.1518324607329843,0.12041884816753927,0.1099476439790576,0.11518324607329843,0.18848167539267016,0.14136125654450263
Terron Ward,RB,Atlanta Falcons,74,0.06896551724137931,0.27586206896551724,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.1724137931034483,0.20689655172413793
Taylor Gabriel,WR,Atlanta Falcons,249,0.75,0.0,0.0,0.0,0.0,0.0,0.25
Mohamed Sanu,WR,Atlanta Falcons,190,0.25,0.0,0.0,0.25,0.25,0.0,0.25
Javorius Allen,RB,Baltimore Ravens,464,0.032679738562091505,0.10457516339869281,0.21568627450980393,0.19607843137254902,0.35947712418300654,0.058823529411764705,0.032679738562091505
Alex Collins,RB,Baltimore Ravens,379,0.09905660377358491,0.10849056603773585,0.19811320754716982,0.10377358490566038,0.2783018867924528,0.10377358490566038,0.10849056603773585
Chris Moore,WR,Baltimore Ravens,90,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Mike Wallace,WR,Baltimore Ravens,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Tolbert,FB,Buffalo Bills,203,0.06060606060606061,0.07575757575757576,0.22727272727272727,0.2727272727272727,0.18181818181818182,0.16666666666666666,0.015151515151515152
Travaris Cadet,RB,Buffalo Bills,111,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.30434782608695654,0.043478260869565216,0.21739130434782608,0.08695652173913043
LeSean McCoy,RB,Buffalo Bills,719,0.10954063604240283,0.12367491166077739,0.14487632508833923,0.24028268551236748,0.1625441696113074,0.14487632508833923,0.07420494699646643
Deonte Thompson,WR,Buffalo Bills,60,0.5,0.0,0.0,0.0,0.0,0.0,0.5
